"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.28311,0,0.00079013,-0.0064177,0.53104,3.9872e-16,-13.514,-1.5445e-15,-3.8402e-16,3.9441e-16,-1.3174e-10,-1,4.7121e-08,0.18373,-1.2273e-23,-0.0097908
0.28822,0,0.00068266,-0.005957,0.53584,7.5791e-16,-13.29,-6.031e-15,-3.8129e-16,7.4363e-16,-1.1181e-10,-1,4.7121e-08,0.18509,-1.2273e-23,-0.0097873
0.29327,0,0.00057893,-0.0055195,0.54055,3.9372e-16,-13.068,-3.2083e-15,-3.7863e-16,3.8739e-16,-9.3228e-11,-1,4.7122e-08,0.18644,-1.2273e-23,-0.0097844
0.29827,0,0.0004788,-0.0051043,0.54517,-1.2549e-15,-12.848,4.6987e-15,-3.8062e-16,-1.2473e-15,-7.5879e-11,-1,4.7122e-08,0.1878,-1.2273e-23,-0.0097819
0.30319,0,0.00038275,-0.0047187,0.54972,6.4491e-16,-12.631,2.0301e-14,-3.8193e-16,6.7054e-16,-5.9662e-11,-1,4.7122e-08,0.18916,-1.2273e-23,-0.00978
0.30806,0,0.00029007,-0.0043532,0.5542,-1.6859e-16,-12.418,1.2319e-15,-3.808e-16,-1.6743e-16,-4.4512e-11,-1,4.7122e-08,0.19052,-1.2273e-23,-0.0097785
0.31288,0,0.00020059,-0.0040068,0.5586,7.6337e-16,-12.208,2.7864e-15,-3.7949e-16,7.6515e-16,-3.0332e-11,-1,4.7122e-08,0.19187,-1.2273e-23,-0.0097774
0.31765,0,0.00011418,-0.0036788,0.56294,9.2933e-16,-12,-6.8798e-15,-3.7582e-16,9.2685e-16,-1.709e-11,-1,4.7122e-08,0.19323,-1.2273e-23,-0.0097767
0.32235,0,3.1099e-05,-0.0033726,0.56721,1.5982e-15,-11.794,9.9609e-15,-3.7042e-16,1.5991e-15,-4.705e-12,-1,4.7122e-08,0.19459,-1.2273e-23,-0.0097764
0.32699,0,-4.8866e-05,-0.0030857,0.57142,2.1567e-16,-11.592,9.1776e-15,-3.666e-16,2.1429e-16,6.9363e-12,-1,4.7122e-08,0.19594,-1.2273e-23,-0.0097765
0.33157,0,-0.00012612,-0.0028146,0.57558,-1.0913e-16,-11.394,3.8514e-15,-3.6639e-16,-1.1059e-16,1.8704e-11,-1,4.9422e-08,0.1973,-1.2273e-23,-0.0097768
0.3361,0,-0.00020078,-0.0025586,0.57967,6.2821e-16,-11.198,1.6603e-14,-3.6535e-16,6.1829e-16,3.0712e-11,-1,5.1619e-08,0.19866,-1.2273e-23,-0.0097775
0.34058,0,-0.00027285,-0.002318,0.58371,5.6586e-16,-11.004,2.4498e-15,-3.6296e-16,5.639e-16,4.2898e-11,-1,5.3727e-08,0.20002,-1.2273e-23,-0.0097784
0.34499,0,-0.00034197,-0.0020957,0.58769,2.3484e-16,-10.816,-1.4134e-15,-3.6137e-16,2.3625e-16,5.5173e-11,-1,5.5755e-08,0.20137,-1.2273e-23,-0.0097797
0.34934,0,-0.00040879,-0.0018861,0.59162,-1.0136e-16,-10.63,1.7147e-15,-3.6111e-16,-1.0336e-16,6.7447e-11,-1,5.7712e-08,0.20273,-1.2273e-23,-0.0097811
0.35364,0,-0.00047341,-0.0016888,0.59551,-1.4855e-16,-10.447,-1.9096e-14,-3.6155e-16,-1.2299e-16,7.97e-11,-1,5.9605e-08,0.20409,-1.2273e-23,-0.0097828
0.3579,0,-0.0005359,-0.0015033,0.59935,-1.0739e-15,-10.266,-1.5856e-14,-3.638e-16,-1.0501e-15,8.9129e-11,-1,5.9605e-08,0.20544,-1.2273e-23,-0.0097848
0.36208,0,-0.00059587,-0.0013321,0.60314,-6.1468e-16,-10.088,-2.1576e-14,-3.6689e-16,-5.7918e-16,9.7984e-11,-1,5.9605e-08,0.2068,-1.2273e-23,-0.0097869
0.36621,0,-0.00065368,-0.0011725,0.60689,-3.2614e-16,-9.9152,-2.3003e-15,-3.6858e-16,-3.2203e-16,1.0633e-10,-1,5.9605e-08,0.20816,-1.2273e-23,-0.0097892
0.37029,0,-0.00070957,-0.0010227,0.61059,-2.4961e-16,-9.7447,6.1145e-15,-3.6966e-16,-2.6133e-16,1.1416e-10,-1,5.9605e-08,0.20952,-1.2273e-23,-0.0097917
0.37433,0,-0.00076359,-0.00088241,0.61426,1.245e-15,-9.577,-2.0873e-15,-3.6785e-16,1.2493e-15,1.215e-10,-1,5.9605e-08,0.21087,-1.2273e-23,-0.0097944
0.37831,0,-0.00081559,-0.00075217,0.61788,-7.97e-16,-9.411,-1.1453e-14,-3.6698e-16,-7.723e-16,1.284e-10,-1,5.9605e-08,0.21223,-1.2273e-23,-0.0097973
0.38222,0,-0.00086534,-0.00063268,0.62147,-4.4647e-16,-9.2509,-2.109e-15,-3.6916e-16,-4.417e-16,1.3488e-10,-1,5.9604e-08,0.21359,-1.2273e-23,-0.0098003
